SITE,DATE,N CHICKS,GUILD,,
1,19-Jul-18,2,Bird,,
1,19-Jul-18,2,Mammal,,
1,19-Jul-18,2,Mammal,,
1,19-Jul-18,2,Other,,
1,19-Jul-18,2,Other,,
1,20-Jul-18,2,Bird,,
1,20-Jul-18,2,Mammal,,
1,20-Jul-18,2,Mammal,,
1,20-Jul-18,2,Other,,
1,21-Jul-18,2,Bird,,
1,21-Jul-18,2,Bird,,
1,21-Jul-18,2,Bird,,
1,21-Jul-18,2,Mammal,,
1,21-Jul-18,2,Mammal,,
1,21-Jul-18,2,Mammal,,
1,22-Jul-18,2,Bird,,
1,22-Jul-18,2,Mammal,,
1,22-Jul-18,2,Mammal,,
1,22-Jul-18,2,Mammal,,
1,22-Jul-18,2,Mammal,,
1,22-Jul-18,2,Mammal,,
1,22-Jul-18,2,Other,,
1,23-Jul-18,2,Bird,,
1,23-Jul-18,2,Bird,,
1,23-Jul-18,2,Mammal,,
1,23-Jul-18,2,Mammal,,
1,23-Jul-18,2,Other,,
1,23-Jul-18,2,Other,,
1,24-Jul-18,2,Mammal,,
1,24-Jul-18,2,Mammal,,
1,24-Jul-18,2,Mammal,,
1,24-Jul-18,2,Mammal,,
1,24-Jul-18,2,Mammal,,
1,24-Jul-18,2,Other,,
1,25-Jul-18,2,Bird,,
1,25-Jul-18,2,Bird,,
1,25-Jul-18,2,Bird,,
1,25-Jul-18,2,Mammal,,
1,25-Jul-18,2,Mammal,,
1,25-Jul-18,2,Mammal,,
1,25-Jul-18,2,Mammal,,
1,25-Jul-18,2,Mammal,,
1,26-Jul-18,2,Bird,,
1,26-Jul-18,2,Mammal,,
1,26-Jul-18,2,Mammal,,
1,26-Jul-18,2,Mammal,,
1,26-Jul-18,2,Mammal,,
1,26-Jul-18,2,Other,,
1,26-Jul-18,2,Other,,
1,27-Jul-18,2,Bird,,
1,27-Jul-18,2,Bird,,
1,27-Jul-18,2,Bird,,
1,27-Jul-18,2,Bird,,
1,27-Jul-18,2,Mammal,,
1,27-Jul-18,2,Mammal,,
1,27-Jul-18,2,Other,,
1,28-Jul-18,2,Bird,,
1,28-Jul-18,2,Bird,,
1,28-Jul-18,2,Bird,,
1,28-Jul-18,2,Mammal,,
1,28-Jul-18,2,Mammal,,
1,28-Jul-18,2,Mammal,,
1,28-Jul-18,2,Other,,
1,28-Jul-18,2,Other,,
1,29-Jul-18,2,Bird,,
1,29-Jul-18,2,BIrd,,
1,29-Jul-18,2,Mammal,,
1,29-Jul-18,2,Mammal,,
1,29-Jul-18,2,Mammal,,
1,29-Jul-18,2,Mammal,,
1,29-Jul-18,2,Mammal,,
1,29-Jul-18,2,Waterfowl,,
1,30-Jul-18,2,Bird,,
1,30-Jul-18,2,Bird,,
1,30-Jul-18,2,Bird,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Mammal,,
1,30-Jul-18,2,Other,,
1,30-Jul-18,2,Waterfowl,,
1,30-Jul-18,2,Waterfowl,,
1,31-Jul-18,2,Bird,,
1,31-Jul-18,2,Bird,,
1,31-Jul-18,2,Bird,,
1,31-Jul-18,2,Bird,,
1,31-Jul-18,2,Mammal,,
1,31-Jul-18,2,Mammal,,
1,31-Jul-18,2,Mammal,,
1,31-Jul-18,2,Mammal,,
1,31-Jul-18,2,Mammal,,
1,31-Jul-18,2,Waterfowl,,
1,01-Aug-18,2,Bird,,
1,01-Aug-18,2,Mammal,,
1,01-Aug-18,2,Mammal,,
1,01-Aug-18,2,Mammal,,
1,01-Aug-18,2,Mammal,,
1,01-Aug-18,2,Mammal,,
1,01-Aug-18,2,Other,,
1,01-Aug-18,2,Waterfowl,,
