SITE,N CHICKS,DATE,AGE CHICKS,START TIME,END TIME,IVIs,IVInum
80,3,20-Jul-18,7,05:25:00,05:32:30,00:00:00,0
18,3,05-Aug-18,24,06:13:27,06:25:55,00:00:10,0.0001
18,3,07-Aug-18,26,18:52:24,18:54:52,00:00:05,0.0001
80,3,24-Jul-18,11,14:50:00,14:57:30,00:00:28,0.0003
33,2,31-Jul-18,11,13:52:21,13:57:22,00:00:38,0.0004
53,3,25-Jul-18,9,19:14:21,19:21:54,00:00:39,0.0005
45,3,10-Aug-18,25,14:46:13,14:48:03,00:01:13,0.0008
3,4,28-Jul-18,13,18:47:15,18:49:27,00:01:20,0.0009
33,2,04-Aug-18,15,12:10:50,12:14:20,00:01:37,0.0011
53,3,30-Jul-18,14,17:31:43,17:45:28,00:01:43,0.0012
45,3,27-Jul-18,10,13:27:45,13:33:20,00:02:10,0.0015
3,4,24-Jul-18,9,20:27:59,20:35:00,00:02:18,0.0016
147,2,17-Jul-18,3,10:47:46,10:54:19,00:02:35,0.0018
18,3,01-Aug-18,20,06:22:02,06:24:02,00:02:53,0.002
18,4,26-Jul-18,14,16:21:48,16:27:48,00:02:59,0.0021
18,3,07-Aug-18,26,18:57:51,19:05:18,00:02:59,0.0021
33,2,01-Aug-18,12,17:06:19,17:10:00,00:03:33,0.0025
45,3,09-Aug-18,24,08:19:41,08:24:13,00:03:35,0.0025
78,2,02-Aug-18,16,12:35:00,12:47:48,00:03:48,0.0026
33,2,05-Aug-18,16,17:51:10,17:55:05,00:03:43,0.0026
45,3,08-Aug-18,23,05:03:04,05:05:31,00:03:50,0.0027
3,4,29-Jul-18,14,20:09:59,20:24:56,00:04:19,0.003
78,2,06-Aug-18,20,14:52:10,14:54:47,00:04:47,0.0033
29,1,30-Jul-18,17,14:45:54,14:51:23,00:04:49,0.0033
33,2,02-Aug-18,13,08:00:00,08:08:20,00:04:54,0.0034
22,3,17-Jul-18,6,21:25:00,21:37:30,00:05:00,0.0035
78,2,31-Jul-18,14,11:18:51,11:26:13,00:05:34,0.0039
45,3,27-Jul-18,10,08:07:01,08:14:44,00:05:48,0.004
18,3,07-Aug-18,26,13:21:34,13:30:00,00:05:56,0.0041
45,3,06-Aug-18,21,21:11:58,21:16:35,00:06:07,0.0042
78,2,09-Aug-18,23,13:11:15,13:13:04,00:06:15,0.0043
29,1,06-Aug-18,23,20:57:53,20:58:46,00:06:09,0.0043
45,3,13-Aug-18,28,19:32:25,19:36:12,00:06:09,0.0043
29,1,02-Aug-18,19,15:05:55,15:09:44,00:06:21,0.0044
77,3,01-Aug-18,16,08:42:26,08:44:08,00:06:44,0.0047
18,3,08-Aug-18,27,21:52:08,22:00:00,00:06:46,0.0047
33,2,13-Aug-18,24,15:39:34,15:46:12,00:06:44,0.0047
97,2,01-Aug-18,18,14:00:00,14:15:00,00:07:01,0.0049
45,3,10-Aug-18,25,19:04:57,19:06:25,00:07:16,0.005
75,1,29-Jul-18,18,16:20:00,19:25:28,00:07:37,0.0053
33,2,13-Aug-18,24,15:54:10,15:57:34,00:07:58,0.0055
45,3,06-Aug-18,21,15:44:35,15:47:56,00:08:24,0.0058
3,3,07-Aug-18,23,19:54:08,20:06:45,00:08:33,0.0059
29,1,30-Jul-18,17,16:34:05,16:39:15,00:08:29,0.0059
77,3,31-Jul-18,15,04:18:51,04:22:16,00:08:51,0.0061
18,3,07-Aug-18,26,18:01:43,18:01:53,00:08:48,0.0061
45,3,23-Jul-18,6,12:58:53,13:05:53,00:08:59,0.0062
53,3,26-Jul-18,10,17:54:05,17:59:30,00:09:05,0.0063
53,3,30-Jul-18,14,09:48:21,09:52:17,00:09:36,0.0067
45,3,06-Aug-18,21,18:04:08,18:07:51,00:09:48,0.0068
18,3,04-Aug-18,23,18:15:00,18:26:20,00:10:00,0.0069
47,3,30-Jul-18,9,07:39:35,07:47:53,00:10:05,0.007
78,2,02-Aug-18,16,19:19:08,19:25:30,00:10:21,0.0072
