SiteID,OriginalSiteNumber,AEM,SiteLatitudeDD,SiteLongitudeDD,SiteStudyArea,SiteTerritoryID,2011_Field,SiteX17N,SiteY17N,MinDistDisturbance,SiteNearestNeighbour,SiteClusterID,PotentialDisturbanceArea,SiteComments,SiteToCheckYearly
1,1,Yes,62.86834,-92.25595,Rankin,,,,,,,,,,
2,2,No,62.79479,-92.19698,Rankin,,,,,,,,,,
3,3,No,62.82665,-91.93318,Rankin,,,,,,,,,,
4,4,No,62.84473,-92.29986,Rankin,,,,,,,,,,
5,5,No,62.85239,-92.32246,Rankin,,,,,,,,,,
6,6,No,62.84279,-92.29028,Rankin,,,,,,,,,,
7,7,No,62.76936,-92.09103,Rankin,,,,,,,,,,
8,8,No,62.78951,-92.10516,Rankin,,,,,,,,,,
9,9,No,62.74261,-92.35516,Rankin,,,,,,,,,,
10,10,No,62.79271,-92.10331,Rankin,,,,,,,,,,
11,11,No,62.78963,-92.13411,Rankin,,,,,,,,,,
12,12,No,62.81187,-91.83968,Rankin,,,,,,,,,,
13,13,No,62.81449,-91.84718,Rankin,,,,,,,,,,
14,14,Yes,62.97506,-92.12968,Rankin,,,,,,,,,,
15,15,No,62.79058,-92.20854,Rankin,,,,,,,,,,
16,16,No,62.74232,-92.16041,Rankin,,,,,,,,,,
17,17,No,62.74592,-92.17412,Rankin,,,,,,,,,,
18,18,Yes,62.85466,-92.17141,Rankin,,,,,,,,,,
19,19,No,62.74292,-92.17643,Rankin,,,,,,,,,,
20,20,Yes,62.85597,-92.16164,Rankin,,,,,,,,,,
21,21,No,62.75274,-92.23737,Rankin,,,,,,,,,,
22,22,No,62.7556,-92.25006,Rankin,,,,,,,,,The bottom half of this cliff is quite dangerous to climb. Most years it seems like this nest is most easily accessed from the back (ie: go around the cliff into the small bay and walk back over it).,
23,23,No,62.76503,-92.27883,Rankin,,,,,,,,,,
24,24,No,62.76221,-92.26353,Rankin,,,,,,,,,,
25,25,No,62.7623,-92.25649,Rankin,,,,,,,,,,
26,26,No,62.78538,-92.29602,Rankin,,,,,,,,,,
27,27,No,62.77885,-92.30341,Rankin,,,,,,,,,,
28,28,No,62.79558,-92.3236,Rankin,,,,,,,,,,
29,29,No,62.80025,-92.32125,Rankin,,,,,,,,,,
30,30,No,62.78494,-92.18941,Rankin,,,,,,,,,,
31,31,No,62.81911,-92.25923,Rankin,,,,,,,,,,
